timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
322587455,32767,32767,32767,32767,32767,32767
322592523,32767,32767,32767,32767,32767,0
322597606,32767,32767,32767,32767,-20,32767
322602674,32767,32767,32767,9,32767,32767
322607744,32767,32767,32767,32767,5,-28
322612849,32767,32767,32767,32767,32767,-15
322617902,32767,32767,32767,32767,32767,32767
322678789,32767,32767,32767,32767,32767,32767
322683864,32767,32767,32767,32767,5,32767
322688947,32767,32767,32767,32767,32767,-27
322694014,32767,32767,32767,32767,32767,-2
322699098,32767,32767,32767,32767,-16,32767
322704163,32767,32767,32767,32767,32767,-7
322709236,32767,32767,32767,32767,32767,32767
322714318,32767,32767,32767,9,-43,-7
322719637,32767,32767,32767,32767,32767,32767
322744756,32767,32767,32767,32767,32767,-23
322749844,32767,32767,32767,32767,-20,32767
322754907,32767,32767,32767,32767,32767,-1
322759987,32767,32767,32767,32767,7,-40
322765056,32767,32767,32767,7,32767,1
322770138,32767,32767,32767,32767,32767,32767
322775212,32767,32767,32767,32767,-17,-14
322780286,32767,32767,32767,32767,32767,32767
322785360,32767,32767,32767,32767,9,32767
322790428,32767,32767,32767,32767,32767,-32
322795510,32767,32767,32767,32767,32767,-12
322876697,32767,32767,32767,8,-17,32767
322881773,32767,32767,32767,32767,32767,-1
322887101,32767,32767,32767,32767,5,32767
322892055,32767,32767,32767,32767,32767,32767
322897082,32767,32767,32767,32767,32767,-30
322902097,32767,32767,32767,32767,-18,32767
322907142,32767,32767,32767,32767,32767,-30
323018785,32767,32767,32767,32767,32767,32767
323023854,32767,32767,32767,32767,32767,-1
323028936,32767,32767,32767,32767,-19,32767
323034008,32767,32767,32767,32767,32767,-16
323039074,32767,32767,32767,8,7,32767
323044157,32767,32767,32767,32767,32767,32767
323049493,32767,32767,32767,32767,32767,-39
323054486,32767,32767,32767,32767,-20,32767
323059492,32767,32767,32767,32767,32767,-38
323064453,32767,32767,32767,32767,5,-18
323069525,32767,32767,32767,32767,32767,32767
323125340,32767,32767,32767,32767,32767,-16
323130633,32767,32767,32767,32767,-20,32767
323135674,32767,32767,32767,32767,32767,32767
323140721,32767,32767,32767,10,6,-37
323145664,32767,32767,32767,32767,32767,-6
323150736,32767,32767,32767,32767,32767,32767
323155791,32767,32767,32767,32767,-18,-7
323160890,32767,32767,32767,32767,32767,32767
323165940,32767,32767,32767,32767,6,-14
323171021,32767,32767,32767,32767,32767,32767
323176106,32767,32767,32767,32767,32767,-24
323247147,32767,32767,32767,32767,32767,-15
323252208,32767,32767,32767,11,32767,32767
323257293,32767,32767,32767,32767,-20,32767
323262354,32767,32767,32767,32767,32767,-7
323267438,32767,32767,32767,32767,6,32767
323272503,32767,32767,32767,32767,32767,32767
323277577,32767,32767,32767,32767,32767,-26
