timestamp,ignore_thrust,ignore_attitude,ignore_bodyrate_x,ignore_bodyrate_y,ignore_bodyrate_z,ignore_position,ignore_velocity,ignore_acceleration_force,ignore_alt_hold
349689481,0,0,1,1,1,0,1,1,0
349791642,0,0,1,1,1,0,1,1,0
349894351,0,0,1,1,1,0,1,1,0
349989642,0,0,1,1,1,0,1,1,0
350191472,0,0,1,1,1,0,1,1,0
350289519,0,0,1,1,1,0,1,1,0
350389534,0,0,1,1,1,0,1,1,0
350489428,0,0,1,1,1,0,1,1,0
350593337,0,0,1,1,1,0,1,1,0
350689506,0,0,1,1,1,0,1,1,0
350789520,0,0,1,1,1,0,1,1,0
350889326,0,0,1,1,1,0,1,1,0
350994337,0,0,1,1,1,0,1,1,0
351089880,0,0,1,1,1,0,1,1,0
351389654,0,0,1,1,1,0,1,1,0
351494261,0,0,1,1,1,0,1,1,0
351588771,0,0,1,1,1,0,1,1,0
351689438,0,0,1,1,1,0,1,1,0
